ccard,ccn,key,pin,quota,validthru
American Express,3608-2751-4711-1440,7244,18,1200,Apr/2019
American Express,3608-2968-5638-1181,2887,502,1700,Apr/2022
American Express,3608-2067-4329-1617,2256,696,1500,Feb/2020
American Express,3608-2800-4657-1596,4645,467,1800,Oct/2024
American Express,3608-1721-4160-1593,6464,727,1400,Jan/2018
American Express,3608-2507-4711-1603,2767,770,1600,Oct/2018
American Express,3608-2800-5470-1306,3095,820,1200,Sep/2020
American Express,3608-2588-4158-1394,7991,820,1200,Nov/2023
American Express,3608-2181-5750-1190,7570,507,1100,Jun/2025
American Express,3608-2800-4005-1597,7912,928,1600,Oct/2023
American Express,3608-1192-5407-1383,6988,502,1900,Dec/2019
American Express,3608-2067-4994-1181,5936,360,1000,Sep/2024
American Express,3608-1782-5038-1306,5138,859,2000,Jun/2025
American Express,3608-2800-5691-1794,6295,393,1400,Jan/2019
American Express,3608-2181-5988-1381,4571,323,1300,May/2023
American Express,3608-2800-5983-1245,2955,56,1300,Nov/2020
American Express,3608-2588-5394-1351,3696,515,2000,Dec/2021
American Express,3608-1395-5756-1900,7322,806,1200,Jan/2020
American Express,3608-2800-4288-1306,2771,680,2000,Feb/2024
American Express,3608-2751-4236-1804,6917,805,1200,Jan/2020
American Express,3608-1192-5132-1717,2397,288,1700,Oct/2023
American Express,3608-2588-5632-1032,4610,470,1600,Oct/2025
American Express,3608-2596-5459-1821,2509,643,1300,Aug/2025
American Express,3608-2751-4342-1129,6402,315,2000,Jun/2024
American Express,3608-1192-5638-1394,5641,559,1400,Nov/2018
American Express,3608-1192-5407-1216,5592,922,1000,Nov/2024
American Express,3608-2507-4005-1217,4570,216,1600,Nov/2025
American Express,3608-1721-4458-1983,2904,966,1100,Apr/2021
American Express,3608-1395-5030-1646,2291,614,1600,Nov/2025
American Express,3608-2588-5890-1032,6782,383,2000,Mar/2018
American Express,3608-1192-4458-1053,4225,540,1300,Mar/2019
American Express,3608-2800-4354-1931,7680,698,1500,Oct/2025
American Express,3608-1395-5407-1292,4123,108,1400,Oct/2024
American Express,3608-1333-5394-1828,7673,366,2000,Jul/2025
American Express,3608-1333-5750-1009,3118,736,1500,Nov/2019
American Express,3608-1682-5407-1660,6137,824,1700,Apr/2025
American Express,3608-2181-4668-1185,2262,773,1100,Jan/2022
American Express,3608-1395-4236-1744,6989,981,1400,May/2020
American Express,3608-1192-5750-1185,5675,655,1300,Apr/2019
American Express,3608-2968-5459-1064,2773,281,1000,Apr/2020
American Express,3608-2588-5983-1037,2144,846,1000,Oct/2020
American Express,3608-1682-4711-1198,2482,310,1400,May/2022
American Express,3608-2596-5489-1617,2949,943,1100,May/2019
American Express,3608-2596-4158-1693,6402,835,2000,May/2020
American Express,3608-2800-4329-1052,2948,887,1500,Mar/2020
American Express,3608-1721-4344-1038,2427,77,1600,Jul/2023
American Express,3608-1192-5756-1190,6135,259,1000,Nov/2025
American Express,3608-2588-5983-1189,5399,881,1100,Sep/2024
American Express,3608-2067-5724-1009,6063,773,1600,Apr/2018
American Express,3608-2596-4344-1383,4206,201,1900,Mar/2021
American Express,3608-1395-5132-1660,6158,632,1800,Sep/2018
American Express,3608-1333-5634-1744,2225,35,1900,Aug/2025
American Express,3608-1782-5015-1300,7896,203,1500,Feb/2020
American Express,3608-2800-5551-1744,8009,852,1500,Mar/2019
American Express,3608-2596-5766-1274,6771,733,1700,Dec/2024
American Express,3608-2968-4005-1194,7538,734,1400,Mar/2022
American Express,3608-1721-5750-1589,4752,873,1000,Jun/2023
American Express,3608-2596-5394-1804,3908,958,1200,Aug/2018
American Express,3608-2968-4951-1976,5882,189,1700,Dec/2023
American Express,3608-2067-5132-1351,5822,639,2000,Dec/2020
American Express,3608-1395-4951-1214,2796,642,1900,Sep/2022
American Express,3608-2067-4160-1637,6707,743,1200,Sep/2024
American Express,3608-2751-5394-1968,7398,878,1800,Sep/2024
American Express,3608-2751-5638-1589,4524,15,1400,Aug/2021
American Express,3608-2968-5983-1465,3339,706,1800,Apr/2019
American Express,3608-1782-4523-1983,6378,464,1900,Nov/2022
American Express,3608-2067-4329-1440,4597,570,1100,Jul/2022
American Express,3608-2800-5884-1194,4069,571,1200,Jun/2020
American Express,3608-1192-5394-1121,3769,952,1300,Jul/2019
American Express,3608-1782-5132-1344,7008,896,2000,Mar/2021
American Express,3608-2968-4580-1185,5928,727,1700,Nov/2024
American Express,3608-1682-5333-1900,3778,863,1300,May/2025
American Express,3608-1333-5638-1278,6236,751,1300,Jun/2018
American Express,3608-1192-5030-1583,3839,797,2000,Apr/2024
American Express,3608-1682-5458-1216,3408,841,1500,Oct/2023
American Express,3608-1782-5152-1705,2669,55,2000,Feb/2018
American Express,3608-2588-4711-1629,5352,847,1900,Nov/2022
American Express,3608-2588-4951-1976,2490,941,1500,Jan/2021
American Express,3608-2800-5030-1351,4546,362,1700,Oct/2022
American Express,3608-2181-4580-1185,5626,462,1000,Feb/2022
American Express,3608-2067-5030-1631,7590,734,1400,Aug/2025
American Express,3608-2507-5152-1435,4726,121,1300,Oct/2020
American Express,3608-1682-5983-1916,7736,68,1200,Feb/2019
American Express,3608-1333-5983-1518,5581,185,1100,Oct/2018
American Express,3608-2181-5132-1140,5935,917,1400,Jun/2025
American Express,3608-1333-4264-1190,5511,442,1600,Sep/2022
American Express,3608-2181-5745-1094,5321,999,2000,May/2022
American Express,3608-1782-4005-1001,4782,434,1100,Jul/2019
American Express,3608-2181-5750-1188,3422,903,1600,Jul/2020
American Express,3608-2507-5884-1383,2091,116,1100,Jun/2020
American Express,3608-1333-5394-1217,3338,970,1900,Jul/2023
American Express,3608-1721-4994-1140,5598,79,1900,Mar/2025
American Express,3608-1721-5132-1128,5895,669,1600,Feb/2023
American Express,3608-1192-5394-1583,3553,263,1800,Aug/2021
American Express,3608-2968-5983-1686,2009,370,1900,Sep/2019
American Express,3608-2588-4354-1629,5917,86,1700,Jul/2021
American Express,3608-2067-4657-1182,2842,821,1800,Jul/2024
American Express,3608-2800-5691-1244,4913,47,1800,Oct/2020
American Express,3608-2751-4354-1892,3106,35,1400,Aug/2021
American Express,3608-2507-5791-1198,4372,367,1600,Jan/2018
American Express,3608-1721-5724-1518,2402,139,1300,Mar/2023
American Express,3608-1782-5638-1839,6615,579,1000,Nov/2023
American Express,3608-1192-4342-1274,4470,756,1800,Nov/2019
American Express,3608-1721-4264-1001,2661,772,1300,Mar/2023
American Express,3608-1782-5696-1646,5026,226,1400,Dec/2023
American Express,3608-1333-5030-1024,5520,484,1600,Sep/2022
American Express,3608-2968-4383-1660,6951,753,1300,Dec/2022
American Express,3608-2751-5884-1322,3186,487,1400,May/2024
American Express,3608-1782-4354-1032,4710,754,1500,Jul/2023
American Express,3608-1782-4458-1068,4060,248,1300,Nov/2025
American Express,3608-1333-4342-1614,3385,900,1500,Feb/2025
American Express,3608-2507-4236-1631,6661,414,1600,May/2020
American Express,3608-2751-5756-1394,7056,606,1900,Feb/2018
American Express,3608-1682-4005-1190,4182,47,1900,Jun/2020
American Express,3608-1192-4856-1629,2639,693,2000,Apr/2022
American Express,3608-2596-4711-1613,4453,642,1300,Jul/2022
American Express,3608-1333-5038-1693,6019,810,1600,Nov/2022
American Express,3608-2181-4344-1603,2791,472,1000,Oct/2025
American Express,3608-2800-5983-1915,5565,674,1000,Jan/2022
American Express,3608-1682-5696-1214,5945,612,1100,Feb/2024
American Express,3608-2751-5766-1024,4016,949,1600,Apr/2020
American Express,3608-2507-5724-1024,2712,829,1300,Jun/2018
American Express,3608-1782-4354-1274,4790,700,1200,Jan/2019
American Express,3608-2507-5750-1960,2835,305,1000,Sep/2019
American Express,3608-2181-5394-1596,6415,180,1800,May/2023
American Express,3608-2507-5890-1980,6155,323,1600,Feb/2019
American Express,3608-1395-5696-1215,7537,242,1400,Mar/2022
American Express,3608-2751-5691-1705,7657,743,1200,Sep/2019
American Express,3608-2800-5638-1856,3853,755,1000,Mar/2022
American Express,3608-1721-5132-1828,7690,696,1300,Jun/2019
American Express,3608-1395-5038-1121,3118,852,1500,Jun/2019
American Express,3608-2588-4342-1355,4723,845,1300,Jan/2020
American Express,3608-1395-5750-1916,7426,376,1300,Sep/2020
American Express,3608-2751-5766-1761,6043,579,1600,Mar/2020
American Express,3608-1395-5766-1134,7770,742,1700,Jan/2020
American Express,3608-2751-5696-1182,4298,859,1900,Sep/2020
American Express,3608-2181-4158-1593,5685,785,2000,Mar/2020
American Express,3608-2507-5691-1292,7153,399,1300,Aug/2024
American Express,3608-1395-4329-1265,6273,289,1600,Apr/2024
American Express,3608-2751-5196-1960,2988,216,1000,Jan/2021
American Express,3608-1333-4580-1055,5884,608,1400,Mar/2023
American Express,3608-1721-4383-1394,3033,54,1200,Oct/2020
American Express,3608-1395-5634-1476,6129,738,1600,Jan/2023
American Express,3608-1721-5756-1038,5568,707,1600,Oct/2024
American Express,3608-1721-4318-1838,7878,501,1300,Nov/2025
American Express,3608-2181-5884-1717,6015,398,1400,Dec/2025
American Express,3608-2181-5030-1856,7455,551,1600,Jul/2024
American Express,3608-1192-4342-1705,5387,941,1700,Jan/2019
American Express,3608-2800-5152-1839,3269,445,1300,Jan/2018
American Express,3608-2751-5890-1217,3438,448,1600,Jun/2022
American Express,3608-2507-5458-1032,5563,346,1400,Aug/2023
American Express,3608-2596-4856-1182,3110,778,1100,Aug/2018
American Express,3608-2507-5632-1474,4600,66,1900,Jul/2021
American Express,3608-2507-5691-1673,4309,531,1900,Dec/2018
American Express,3608-2507-4668-1322,3415,596,1700,Oct/2025
American Express,3608-1333-5196-1631,4584,894,1000,Aug/2025
American Express,3608-1721-5015-1185,3465,691,1900,Jun/2022
American Express,3608-1395-4329-1637,3441,783,2000,Jan/2022
American Express,3608-2968-4264-1129,5038,525,1300,Mar/2025
American Express,3608-1333-4160-1856,4180,361,1100,Nov/2023
American Express,3608-2751-5750-1361,5228,783,1000,Feb/2021
American Express,3608-2596-4523-1128,4521,955,1200,Jun/2018
American Express,3608-1782-4354-1255,6947,478,1800,Jul/2023
American Express,3608-2067-5884-1216,5076,218,1900,Feb/2020
American Express,3608-1333-5030-1474,7782,626,1700,Jun/2021
American Express,3608-1721-5152-1551,3359,956,1100,Jan/2021
American Express,3608-1682-4668-1589,3355,420,1300,Dec/2025
American Express,3608-2800-5745-1055,5163,580,1600,Jan/2018
American Express,3608-1721-5196-1190,7319,153,2000,May/2019
American Express,3608-1682-5015-1839,6472,445,1100,Sep/2019
American Express,3608-1682-4951-1278,3331,387,1900,Feb/2020
American Express,3608-1721-5489-1245,2434,772,1200,Jul/2023
American Express,3608-1333-5152-1157,5567,372,1300,Nov/2023
American Express,3608-2507-4711-1999,3045,637,1200,Oct/2024
American Express,3608-2800-4711-1198,3600,60,2000,Feb/2021
American Express,3608-1395-4668-1024,2347,110,1400,Oct/2021
American Express,3608-1192-5988-1518,3242,400,1000,Jan/2018
American Express,3608-2588-4264-1682,7365,752,1100,Mar/2020
American Express,3608-2968-4580-1068,6287,522,2000,Dec/2023
American Express,3608-1682-4445-1274,3414,945,1100,Mar/2018
American Express,3608-2181-5551-1355,4928,581,1300,Jan/2024
American Express,3608-2507-5458-1301,7161,428,2000,Jul/2022
American Express,3608-1682-4318-1306,4731,385,1500,Jan/2019
American Express,3608-2751-4445-1558,7200,904,1500,Feb/2023
American Express,3608-1721-4158-1465,2567,494,1600,Aug/2021
American Express,3608-2067-4158-1623,3918,97,1300,Apr/2021
American Express,3608-2067-4383-1572,2328,489,1700,Apr/2024
American Express,3608-2181-4264-1428,6622,456,1300,Apr/2023
American Express,3608-2588-4657-1856,5062,84,1400,Jun/2025
American Express,3608-1721-5030-1121,2757,186,1500,Sep/2019
American Express,3608-1333-5152-1465,1969,208,1600,May/2018
American Express,3608-2588-4264-1744,6752,143,1500,Mar/2025
American Express,3608-1782-5791-1660,3330,581,1000,Dec/2020
American Express,3608-1721-4383-1278,7951,911,1200,Nov/2021
American Express,3608-2067-4383-1182,3958,743,1100,Mar/2021
American Express,3608-2596-5745-1214,2377,194,1300,Nov/2025
American Express,3608-2181-4318-1217,2368,979,1400,Jul/2024
American Express,3608-1333-5696-1442,5091,663,2000,Jul/2025
American Express,3608-1395-5030-1344,5098,571,1100,Apr/2024
American Express,3608-1721-4856-1597,4416,941,1200,Apr/2020
American Express,3608-1333-4264-1537,4039,524,1500,Oct/2021
American Express,3608-2800-5724-1518,2498,463,1100,Dec/2020
American Express,3608-1721-5884-1351,3747,345,1100,Feb/2023
American Express,3608-2181-5791-1383,3874,331,1600,Apr/2025
American Express,3608-1721-4951-1497,3399,211,1900,Sep/2020
American Express,3608-2596-5551-1589,2071,552,1400,Jun/2021
American Express,3608-1721-4657-1407,3243,279,1600,Nov/2021
American Express,3608-1782-5696-1189,3494,478,2000,Oct/2019
American Express,3608-2181-4951-1190,4663,410,1100,Nov/2019
American Express,3608-2067-5756-1856,4049,402,1800,Jul/2024
American Express,3608-2596-4383-1761,7907,565,1700,Jul/2019
American Express,3608-1395-5333-1474,6689,618,1500,Aug/2024
American Express,3608-1192-4236-1497,5639,595,1900,May/2023
American Express,3608-1682-4458-1892,4101,339,1800,Jun/2022
American Express,3608-2968-4657-1322,2916,394,1600,Aug/2023
American Express,3608-2596-5132-1838,4035,459,1100,Oct/2021
American Express,3608-1682-5983-1014,4161,546,1900,Mar/2019
American Express,3608-2588-5394-1128,2046,672,1200,Oct/2022
American Express,3608-2751-4994-1931,5213,949,1400,Feb/2022
American Express,3608-1682-4318-1682,6143,351,1900,Jul/2025
American Express,3608-2181-4856-1053,2957,644,1400,May/2022
American Express,3608-2181-4005-1613,7387,229,1100,Mar/2024
American Express,3608-2181-5407-1465,7329,410,1700,Mar/2025
American Express,3608-1395-4344-1613,3567,401,1500,Sep/2023
American Express,3608-2800-4951-1068,7019,197,1100,Jan/2024
American Express,3608-1333-5745-1916,4181,7,1200,Sep/2018
American Express,3608-2181-4329-1761,6828,949,1300,Jun/2019
American Express,3608-2181-5638-1194,3517,651,1100,Jun/2019
American Express,3608-1782-5791-1189,4044,902,1400,Mar/2020
American Express,3608-2067-4523-1968,2941,471,1800,Jan/2023
American Express,3608-2800-5884-1182,7534,936,1400,Feb/2022
American Express,3608-2507-5132-1377,5665,987,1000,Oct/2019
American Express,3608-1721-4342-1589,2264,551,1100,Aug/2025
American Express,3608-2507-4994-1394,2547,365,1500,Jul/2019
American Express,3608-2588-5459-1795,4339,201,1600,Feb/2023
American Express,3608-2596-5724-1163,7474,332,1600,Apr/2018
American Express,3608-2067-4038-1109,3155,320,2000,Mar/2024
American Express,3608-2588-5551-1844,3465,99,1200,Dec/2020
American Express,3608-2067-5766-1377,3491,340,1800,Nov/2019
American Express,3608-2968-4236-1916,7172,980,1900,Oct/2024
American Express,3608-2181-5890-1935,7000,253,1000,Apr/2019
American Express,3608-2507-5394-1442,6164,291,1900,Jul/2019
American Express,3608-2181-4711-1892,6091,92,1600,Oct/2023
American Express,3608-2968-5196-1188,7357,32,1700,Jul/2025
American Express,3608-2751-4657-1245,7409,954,1300,Oct/2022
American Express,3608-1192-5884-1442,5117,590,1200,Aug/2018
American Express,3608-1333-4657-1617,6632,696,1800,Mar/2024
American Express,3608-2968-5394-1497,3921,571,1500,Apr/2018
American Express,3608-2181-4158-1306,7100,51,1200,Jan/2021
American Express,3608-2588-4394-1915,7839,289,1600,Oct/2019
American Express,3608-1333-4005-1377,7484,55,1300,Feb/2023
American Express,3608-2968-4236-1980,7590,179,1000,May/2022
American Express,3608-1333-4668-1583,7681,556,1700,Apr/2018
American Express,3608-2507-5791-1976,7457,997,1000,Apr/2021
American Express,3608-2181-4523-1660,2845,888,1900,May/2022
American Express,3608-2507-4445-1394,3542,242,1100,Dec/2024
American Express,3608-1333-4383-1383,4991,979,1900,Jun/2022
American Express,3608-2588-5632-1198,3385,354,1300,May/2018
American Express,3608-1721-4318-1217,2934,646,1200,Dec/2023
American Express,3608-1333-4657-1465,3450,892,1100,Aug/2020
American Express,3608-2596-5691-1001,7121,337,1400,Jul/2020
American Express,3608-2596-4383-1705,6060,861,1600,Feb/2024
American Express,3608-1192-4038-1617,7733,738,1500,Dec/2020
American Express,3608-1782-5152-1603,7089,669,1300,Nov/2019
American Express,3608-2181-5551-1476,6667,263,1700,Aug/2018
American Express,3608-2800-4329-1399,4976,117,1300,Feb/2019
American Express,3608-2968-4344-1931,8040,252,1300,Jul/2021
American Express,3608-1682-5489-1583,5962,478,1800,Jan/2023
American Express,3608-2507-5333-1014,5339,767,1600,Jul/2020
American Express,3608-2181-5638-1163,7246,884,1200,Feb/2023
American Express,3608-2181-4318-1220,6119,27,1500,May/2020
American Express,3608-2507-4005-1935,2694,961,1200,Sep/2023
American Express,3608-2596-4236-1936,3452,446,1700,Sep/2025
American Express,3608-1395-4236-1617,4377,635,1200,Jul/2024
American Express,3608-2588-4951-1916,7385,865,1600,Jul/2018
American Express,3608-2588-5988-1377,6541,684,1100,Sep/2021
American Express,3608-2067-5988-1518,5326,199,1500,Sep/2023
American Express,3608-1682-5489-1705,4591,905,1400,Apr/2018
American Express,3608-1682-5638-1717,7153,106,1600,Nov/2024
American Express,3608-1395-5030-1717,2052,569,1300,Jan/2018
American Express,3608-1395-4994-1668,5396,279,1100,Aug/2018
American Express,3608-2588-5015-1900,5637,702,1900,Jul/2022
American Express,3608-2507-4445-1130,4090,838,2000,Jul/2024
American Express,3608-2800-4160-1474,2432,530,1000,Jan/2020
American Express,3608-1782-4160-1128,3707,455,1800,Jul/2021
American Express,3608-1721-5015-1761,5877,520,2000,Jun/2018
American Express,3608-2800-5407-1383,1968,764,1200,Nov/2023
American Express,3608-1682-5470-1128,2786,679,1600,Jan/2020
American Express,3608-2800-4657-1637,4789,764,1200,Jan/2024
American Express,3608-2968-5638-1660,3710,468,2000,Apr/2019
American Express,3608-2507-5030-1572,5598,119,1700,Dec/2022
American Express,3608-1682-4994-1892,6420,650,1400,Nov/2021
American Express,3608-1782-4580-1935,3108,605,1300,Feb/2021
American Express,3608-2588-4994-1745,2225,65,1500,Oct/2019
American Express,3608-2800-4668-1128,4626,673,1500,Jun/2018
American Express,3608-2596-4354-1128,4465,374,1300,Jan/2021
American Express,3608-1192-4354-1603,7572,630,1900,Jun/2018
American Express,3608-1721-5884-1821,2635,640,1400,Apr/2023
American Express,3608-2596-4458-1381,6546,427,1400,Nov/2021
American Express,3608-2181-4158-1055,4181,681,1100,Jul/2019
American Express,3608-2596-4394-1188,6798,218,1400,Jan/2024
American Express,3608-1721-5791-1660,4150,249,1600,Jan/2025
American Express,3608-1682-4264-1053,6682,812,1800,Jun/2020
American Express,3608-2588-5038-1442,6292,585,1800,Feb/2024
American Express,3608-2181-4158-1828,7722,309,2000,Jul/2020
American Express,3608-2968-5196-1744,5320,585,1300,Jan/2022
American Express,3608-1333-5638-1255,7383,356,1800,Mar/2018
American Express,3608-1395-5756-1001,3357,449,1100,Apr/2020
American Express,3608-1333-4005-1837,6613,315,1700,Aug/2025
American Express,3608-2968-4038-1300,7467,23,1100,Sep/2021
American Express,3608-2596-4445-1999,6304,30,1500,Mar/2018
American Express,3608-2181-5407-1915,3916,389,1200,Jul/2020
American Express,3608-2800-4523-1718,7945,488,1000,May/2022
American Express,3608-1721-5745-1518,5082,108,1800,Sep/2018
American Express,3608-2968-5030-1435,5611,465,1500,Nov/2018
American Express,3608-1782-5015-1189,7208,292,1600,Feb/2024
American Express,3608-2588-4580-1037,3193,268,1500,Jun/2019
American Express,3608-1682-5458-1185,4094,153,1700,Nov/2024
American Express,3608-2507-4856-1068,5567,601,1300,Apr/2022
American Express,3608-2968-5890-1198,5436,613,1400,Dec/2024
American Express,3608-2588-5196-1705,3594,890,1000,Aug/2025
American Express,3608-2800-4288-1892,6560,729,1400,Aug/2022
American Express,3608-1395-5696-1383,4348,582,2000,Apr/2018
American Express,3608-1682-5890-1377,2666,273,1500,May/2022
American Express,3608-1395-5458-1844,5038,800,1500,Nov/2025
American Express,3608-1682-5791-1761,7690,804,1000,Feb/2025
American Express,3608-2181-5196-1361,6063,89,2000,Jul/2020
American Express,3608-2588-5407-1593,7567,133,1300,Jul/2021
American Express,3608-1721-5691-1377,3797,339,1800,Oct/2018
American Express,3608-1721-4342-1361,5429,905,2000,May/2021
American Express,3608-2968-4994-1306,2236,604,1200,Jul/2025
American Express,3608-2067-5394-1300,4876,933,1900,Jun/2024
American Express,3608-2588-4344-1761,6944,938,1600,May/2021
American Express,3608-2968-4344-1094,7661,167,1100,Apr/2022
American Express,3608-2751-4329-1189,2999,64,1800,May/2018
American Express,3608-2968-5791-1660,2935,26,1800,Feb/2024
American Express,3608-2751-4354-1121,6059,535,1400,Jul/2022
American Express,3608-2588-5696-1245,7591,185,1600,Oct/2024
American Express,3608-2588-4236-1761,5105,260,1600,Jun/2018
American Express,3608-2596-4394-1761,7238,609,1100,Dec/2024
American Express,3608-1782-5632-1188,5034,885,1300,Jul/2019
American Express,3608-2507-5489-1377,7282,638,1700,Jan/2025
American Express,3608-1192-4994-1014,2896,199,1400,Jul/2019
American Express,3608-1721-5696-1442,7270,946,1100,Nov/2024
American Express,3608-1782-5333-1217,3545,902,1300,Aug/2019
American Express,3608-1395-5696-1009,7841,904,1900,Sep/2024
American Express,3608-2968-4394-1476,6151,965,1400,Sep/2018
American Express,3608-1682-5030-1394,4568,505,1800,Jan/2019
American Express,3608-2588-5756-1475,4061,630,1500,Feb/2024
American Express,3608-1395-5791-1245,2180,905,1500,Aug/2024
American Express,3608-1682-5470-1744,4827,846,1200,Sep/2020
American Express,3608-2596-4264-1134,6387,92,1200,Apr/2024
American Express,3608-2596-4264-1185,4549,195,1900,Jul/2019
American Express,3608-2596-5632-1274,5257,972,1700,Jul/2024
American Express,3608-2751-4580-1344,4163,328,1000,Jun/2018
American Express,3608-1333-5745-1537,3571,536,1100,Oct/2024
American Express,3608-2751-5890-1476,5152,71,1700,May/2022
American Express,3608-2751-5724-1915,7701,513,1300,Nov/2022
American Express,3608-2751-4458-1603,2930,370,1500,May/2019
American Express,3608-1721-5638-1614,3844,291,1100,May/2021
American Express,3608-1782-5333-1668,6274,440,1600,Jan/2018
American Express,3608-2968-4458-1189,6407,803,1400,Jun/2021
American Express,3608-1782-4038-1537,7318,278,1100,Aug/2019
American Express,3608-2751-4342-1381,7409,108,1600,Mar/2018
American Express,3608-1721-4458-1844,6332,837,1200,Jun/2024
American Express,3608-2507-5394-1900,4433,866,1400,May/2018
American Express,3608-2507-4038-1032,3878,658,1800,Aug/2018
American Express,3608-2181-5884-1673,7358,143,1200,Sep/2025
American Express,3608-1333-5632-1292,4560,419,1900,Feb/2023
American Express,3608-1395-4158-1900,6820,117,1000,Nov/2023
American Express,3608-2067-5196-1188,3275,651,1300,Aug/2018
American Express,3608-1192-5394-1745,4832,984,1800,Feb/2021
American Express,3608-2800-5196-1188,7283,234,1600,Aug/2022
American Express,3608-2588-5745-1245,4906,135,1000,May/2018
American Express,3608-2968-5551-1593,3890,554,1100,Apr/2020
American Express,3608-2588-4668-1983,6492,953,1100,Apr/2025
American Express,3608-1192-5983-1828,5927,480,1000,Dec/2018
American Express,3608-1395-4342-1216,3294,505,1900,Apr/2022
American Express,3608-2968-4005-1435,5209,143,1000,May/2023
American Express,3608-1395-5724-1476,5538,232,1900,Oct/2021
American Express,3608-2507-4158-1980,2275,890,1300,Nov/2019
American Express,3608-1782-4038-1660,5145,73,1000,Jan/2019
American Express,3608-1782-5038-1130,7169,889,1700,Jun/2024
American Express,3608-2596-4318-1214,7573,400,1300,Mar/2024
American Express,3608-1721-4318-1999,6592,228,1300,Jan/2022
American Express,3608-1333-4580-1603,3095,833,1500,Mar/2019
American Express,3608-2596-5030-1980,4866,297,1700,Feb/2025
American Express,3608-2181-5470-1435,5117,369,1700,Jul/2020
American Express,3608-2596-5632-1686,4597,551,1900,Dec/2021
American Express,3608-1395-4994-1976,7611,250,1400,May/2018
American Express,3608-2181-5638-1014,6731,20,1500,Jun/2023
American Express,3608-1333-5407-1558,4896,835,1500,Mar/2024
American Express,3608-2751-4445-1383,5619,759,1200,Feb/2020
American Express,3608-1333-4711-1361,4141,635,2000,Nov/2023
American Express,3608-1333-5983-1306,7884,513,1600,Mar/2020
American Express,3608-1782-5745-1795,4354,682,2000,Sep/2022
American Express,3608-2181-4236-1189,5963,602,1900,Jul/2025
American Express,3608-1395-4383-1394,4948,646,1200,May/2025
American Express,3608-2968-4580-1673,7162,387,1000,Jul/2019
American Express,3608-1395-4236-1497,2653,722,1400,Mar/2022
American Express,3608-1333-4523-1344,4834,86,1800,Apr/2020
American Express,3608-1782-5634-1121,6279,29,1200,Aug/2020
American Express,3608-2968-5983-1278,6584,363,1100,Sep/2020
American Express,3608-2067-5983-1157,7811,300,1500,Sep/2021
American Express,3608-2596-5691-1306,4608,794,1400,Dec/2020
American Express,3608-1333-5015-1322,8020,100,1900,Sep/2021
American Express,3608-1782-5152-1054,6826,167,1300,Sep/2019
American Express,3608-2067-5983-1804,6370,53,1600,Jan/2018
American Express,3608-2507-4668-1572,7578,189,1300,Apr/2021
American Express,3608-1682-4038-1968,6983,951,1800,Jun/2021
American Express,3608-2968-5750-1181,2158,258,1100,Aug/2023
American Express,3608-1682-5196-1220,7994,985,1900,Nov/2021
American Express,3608-1782-4580-1194,4737,857,1800,Jan/2025
American Express,3608-2181-4288-1551,2322,553,1700,Sep/2019
American Express,3608-2067-5766-1718,7398,526,1200,Jan/2025
American Express,3608-1395-4236-1980,5417,794,1500,Jun/2023
American Express,3608-2588-5333-1377,5054,459,1000,Oct/2023
American Express,3608-2067-5038-1572,3638,707,2000,Oct/2020
American Express,3608-1682-4994-1686,3578,760,1700,Jul/2021
